JIB_PACIJENTA,IME,PREZIME,ADRESA,JMBG,DATUM_RODJ,POL,BRACNO_STANJE,DATUM_PRIJEMA,BROJ_TEL_RODJAKA,BROJ_TEL_DR_OPSTE_PRAKSE,SRODSTVO_SOS_SA_PACIJENTOM
183,Drago,Puriæ,"Hrupjela 2, Trebinje",2812951430980,12/28/1995,M,neoženjen,7/8/2020,056/411-327,+387 59 261-353,roðak
184,Cvetan,Rudoviæ,"Hrupjela BB, Trebinje",2001492752930,1/20/1949,M,neoženjen,7/22/2020,056/411-435,+387 59 261-350,roðak
185,Krsta,Ignjatiæ,"Hrupjela BB, Trebinje",2112023956125,12/21/2002,M,neoženjen,7/11/2020,056/410-295,+387 59 261-351,roðak
186,Mileš,Dobrenoviæ,"Hrupjela BB, Trebinje",0301535877826,1/3/1953,M,neoženjen,7/27/2020,056/411-225,+387 59 261-353,roðak
187,Jasen,Bekonja,"Igmanskog Marša BB, Foèa",2406077065312,6/24/2007,M,neoženjen,7/13/2020,056/410-284,058/214-817,roðak
188,Vukoica,Radomiroviæ,"Iliæi BB, Zvornik",3005918007265,5/30/1991,M,neoženjen,7/9/2020,056/411-267,056/211-111,roðak
189,Anatolije,Gajdaševiæ,"Ivaniæi BB, Donja Pilica",0702373860453,2/7/1937,M,udovac,7/10/2020,056/410-629,056/211-111,rodica
190,Miladin,Radulaški,Ive Andriæa 37A,2808386667031,8/28/1938,M,neoženjen,7/30/2020,056/410-116,055/416-016,roðak
191,Vraneš,Trampa,"Jablani BB, Ugljevik",0511792122997,11/5/1979,M,udovac,7/21/2020,059/227-157,055/416-019,roðak
192,Andrej,Gvozden,"Jadarska Br/3, Zvornik",2707819361261,7/27/1981,M,neoženjen,7/27/2020,059/227-550,056/211-102,roðak
193,Cvetoš,Spremo,"Jardan BB, Gušteri",1807027254336,7/18/2002,M,neoženjen,7/9/2020,059/484-443,056/211-102,roðak
194,Sredoje,Mikuliæ,"Jardan BB, Jardan",2511009876493,11/25/2000,M,neoženjen,7/25/2020,059/223-644,056/211-111,roðak
195,Njegovan,Velimir,"Jardan BB, Zvornik",1808888788072,8/18/1988,M,neoženjen,7/7/2020,059/224-236,056/211-102,roðak
196,Gvozden,Zorkiæ,"Jasenica BB, Kozluk",3001184301253,1/30/2018,M,neoženjen,7/22/2020,059/220-599,056/211-111,roðak
197,Vukša,Šantriæ,Jasenovackih Mucenika 5,1306454600136,6/13/1945,M,neoženjen,7/17/2020,059/261-326,055/416-019,roðak
198,Dorotej,Putnikoviæ,"Jaziæi BB, Kalinovik",2705872831375,5/27/1987,M,neoženjen,7/21/2020,059/220-951,057/340-169,roðak
199,Budisav,Dulikraviæ,"Jaziæi BB, Kalinovik",3108926405462,8/31/1992,M,neoženjen,7/28/2020,059/227-299,057/340-169,roðak
200,Matej,Matavulj,"Jelašæa BB, Kalinovik",2303546646970,3/23/1954,M,neoženjen,7/13/2020,059/240-464,057/340-169,rodica
201,Relja,Macedonac,"Jelašæa BB, Kalinovik",0604406516865,4/6/1940,M,neoženjen,7/13/2020,059/281-372,057/340-169,roðak
202,Radoš,Žarkoviæ,"Jelašæa BB, Kalinovik",3006414527901,6/30/1941,M,neoženjen,7/7/2020,059/271-170,057/340-169,rodica
203,Stevan,Blizanac,"Jelašæa BB, Kalinovik",0403406892865,3/4/1940,M,neoženjen,7/6/2020,059/240-521,057/340-169,roðak
204,Vlajko,Lomas,"Jelovaèka BB, Bratunac",2101866575843,1/21/1986,M,neoženjen,7/20/2020,059/258-043,056/490-419,roðak
205,Živorad,Varadinac,"JošAnica BB, JošAnica",0510705267451,10/5/1970,M,neoženjen,7/4/2020,059/257-223,058/214-812,roðak
206,Branislav,Gaæe,"JošAnica BB, JošAnica",3008504095985,8/30/1950,M,neoženjen,7/8/2020,059/280-069,058/214-817,roðak
207,Vukola,Pušica,Josifa Marinkoviæa 19,1404792427743,4/14/1979,M,neoženjen,7/12/2020,059/224-035,055/416-016,roðak
208,Jasminko,Šuæur,"Jovana Raškoviæa 10, Trebinje",1106889719602,6/11/1988,M,neoženjen,7/25/2020,059/223-897,+387 59 261-350,roðak
209,Gavrilo,Kereèki,"Jovana Raškoviæa 15, Trebinje",0505972073939,5/5/1997,M,neoženjen,7/28/2020,059/257-106,+387 59 261-351,roðak
210,Avakum,Marièin,"Jovana Raškoviæa 64, Trebinje",2006372961557,6/20/1937,M,neoženjen,7/20/2020,059/281-548,+387 59 261-351,roðak
211,Sreten,Karauliæ,"Kaèevac BB, Bijeljina",1010139001057,10/10/2013,M,neoženjen,7/22/2020,059/260-388,055/416-019,roðak
212,Bogoboj,Jelisijeviæ,"Kacunska BB, Kalinovik",0208017826328,8/2/2001,M,neoženjen,7/10/2020,059/483-676,057/340-169,roðak
213,Bojadin,Danojliæ,"Kacunska BB, Kalinovik",2911875189057,11/29/1987,M,neoženjen,7/1/2020,059/240-282,057/340-169,rodica
214,Baja,Lovèeviæ,"Kajmovina BB, Foèa",2510976135138,10/25/1997,M,neoženjen,7/29/2020,059/285-500,058/214-812,roðak
215,Perko,Lipovina,"Kajmovina BB, Foèa",2507562742602,7/25/1956,M,neoženjen,7/23/2020,059/258-183,058/214-817,roðak
216,Milijas,Radivojev,"Kamenica Donja BB, Kamenica Donja",0212969663547,12/2/1996,M,neoženjen,7/5/2020,059/246-062,056/211-111,roðak
217,Milomir,Batalo,"Karaðorðeva BB, Bijeljina",0805155690281,5/8/2015,M,neoženjen,7/9/2020,059/261-483,055/416-018,roðak
218,Tvrdislav,Opsenica,"Karaðorðeva BB, Kalinovik",1210853264509,10/12/1985,M,neoženjen,7/1/2020,059/224-664,057/340-169,roðak
219,Branivoj,Pralica,"Karaðorðeva BB, Kalinovik",1903537943143,3/19/1953,M,neoženjen,7/26/2020,059/260-958,057/340-169,roðak
220,Dobrosav,Uvalin,"Karaðorðeva BB, Kalinovik",0512886207648,12/5/1988,M,neoženjen,7/27/2020,059/224-690,057/340-169,rodica
221,Milša,Zorkiæ,"Karaðorðeva BB, Kalinovik",1912899171851,12/19/1989,M,neoženjen,7/1/2020,059/261-591,057/340-169,roðak
222,Vidan,Medakoviæ,"Karaðorðeva BB, Kalinovik",2709673131516,9/27/1967,M,neoženjen,7/23/2020,059/223-143,057/340-169,roðak
223,Beriša,Betegalo,"Karaðorðeva BB, Kalinovik",2407538696005,7/24/1953,M,neoženjen,7/26/2020,059/225-181,057/340-169,roðak
224,Budisav,Ljajiæ,"Karaðorðeva BB, Kalinovik",1307859856990,7/13/1985,M,neoženjen,7/1/2020,059/480-333,057/340-169,roðak
225,Jezda,Zamuroviæ,"Karaðorðeva BB, Kalinovik",0411195890173,11/4/2019,M,neoženjen,7/22/2020,059/281-555,057/340-169,roðak
226,Jasminko,Prdavica,"Karaðorðeva BB, Kalinovik",2210681460878,10/22/1968,M,oženjen,7/1/2020,059/258-096,057/340-169,roðak
227,Darijo,Balta,"Karaðorðeva BB, Kalinovik",3108665457260,8/31/1966,M,neoženjen,7/13/2020,059/485-359,057/340-169,roðak
228,Nikodije,Jevriæ,"Karaðorðeva BB, Kalinovik",0903147514361,3/9/2014,M,neoženjen,7/30/2020,059/280-535,057/340-169,roðak
229,Jeronim,Jovakariæ,"Karaðorðeva BB, Kalinovik",1702402332429,2/17/1940,M,neoženjen,7/12/2020,059/225-523,057/340-169,rodica
230,Gavrilo,Obrenov,"Karaðorðeva BB, Kalinovik",0808187391834,8/8/2018,M,neoženjen,7/17/2020,059/224-207,057/340-169,roðak
231,Berislav,Perièeviæ,"Karaðorðeva BB, Kalinovik",2103037219145,3/21/2003,M,neoženjen,7/23/2020,059/227-774,057/340-169,rodica
232,Raðen,Hrebeljanoviæ,"Karaðorðeva BB, Kalinovik",2505918105917,5/25/1991,M,neoženjen,7/30/2020,059/260-854,057/340-169,rodica
233,Krsto,Jeèmeniæ,"Karaðorðeva BB, Kalinovik",1601351501576,1/16/1935,M,neoženjen,7/2/2020,059/240-475,057/340-169,roðak
234,Matijaš,Vrugiæ,"Karaðorðeva BB, Foèa",2809382611046,9/28/1938,M,neoženjen,7/16/2020,059/220-215,058/214-812,rodica
235,Rafailo,Stranjakoviæ,"Karaðorðeva BB, Foèa",2202478011029,2/22/1947,M,neoženjen,7/20/2020,059/220-245,058/214-813,roðak
236,Strahinja,Matunoviæ,"Karaðorðeva BB, Foèa",0511053627042,11/5/2005,M,neoženjen,7/3/2020,059/224-770,058/214-817,roðak
237,Borisav,Bota,"Karaðorðeva BB, Foèa",1104556319482,4/11/1955,M,neoženjen,7/10/2020,059/223-564,058/214-817,roðak
238,Sveta,Lopušina,"Karaðorðeva BB, Foèa",1708057214311,8/17/2005,M,neoženjen,7/26/2020,059/261-095,058/214-817,roðak
239,Grubeta,Ljubaniæ,"Karakaj bb, Miliæi",0904205166476,4/9/2020,M,neoženjen,7/26/2020,059/223-410,056/211-100,rodica
240,Dositej,Andriæ,"Karakaj Eknomija, Zvornik",2012373559055,12/20/1937,M,neoženjen,7/6/2020,059/260-189,056/211-111,rodica
241,Veljko,Ljuština,"Karakaj Ulice, Zvornik",0407667758891,7/4/1966,M,neoženjen,7/28/2020,059/220-406,056/211-102,roðak
242,Aleksije,Jovadžiæ,"Karakaj BB, Zvornik",0308462983574,8/3/1946,M,neoženjen,7/31/2020,059/220-065,056/211-111,roðak
243,Arsenije,Fržoviæ,"Karakaj BB, Zvornik",2909186595283,9/29/2018,M,neoženjen,7/4/2020,059/280-509,056/211-111,roðak
244,Zdravoljub,Motièiæ,"Karavlasi BB, Bijeljina",2904895202930,4/29/1989,M,neoženjen,7/16/2020,059/240-377,055/416-016,roðak
245,Dragoslav,Milièiæ,"Kitovnice BB, Kitovnice",2007012163232,7/20/2001,M,neoženjen,7/13/2020,059/261-669,056/211-102,roðak
246,Vlada,Radivojev,"Klešiæ BB, Donja Pilica",2307737646415,7/23/1973,M,neoženjen,7/15/2020,059/280-262,056/211-102,rodica
247,Ivica,Preleviæ,"Klobuk BB, Lastva",0906868429015,6/9/1986,M,neoženjen,7/7/2020,059/258-064,+387 59 261-353,roðak
248,Srdan,Šešum,Kneginje Milice 8/7,1601905106178,1/16/1990,M,neoženjen,7/20/2020,059/280-277,055/416-019,roðak
249,Mališa,Gordeljeviæ,Knez Ive Od Semberije 47,2302009606592,2/23/2000,M,neoženjen,7/5/2020,059/261-119,055/416-016,roðak
250,Aleksa,Pejušiæ,"Knez Ive Od Semberije BB, Bijeljina",1308034846360,8/13/2003,M,neoženjen,7/4/2020,059/280-080,055/416-019,roðak
251,Jevto,Èibukovac,"Knez Mihailova- Gradina BB, Gorica",2506063458022,6/25/2006,M,neoženjen,7/24/2020,059/225-675,+387 59 261-350,roðak
252,Radašin,Parojèiæ,"Kneza Ive BB, Bratunac",2312844664431,12/23/1984,M,oženjen,7/23/2020,059/227-261,056/490-417,roðak
253,Ilinko,Crkvenjaš,"Kneza Ive BB, Bratunac",0402839370510,2/4/1983,M,neoženjen,8/1/2020,059/223-132,056/490-419,roðak
254,Milijan,Vukoviæ,"Kneza Ive BB, Bratunac",0602945594529,2/6/1994,M,neoženjen,7/1/2020,059/261-874,056/490-419,roðak
255,Veran,Vojkiæ,"Kneza Ive BB, Bratunac",1103048024368,3/11/2004,M,neoženjen,7/7/2020,059/280-615,056/490-417,roðak
256,Branimir,Šapuriæ,"Kneza Ive BB, Bratunac",0603063920905,3/6/2006,M,neoženjen,7/29/2020,059/260-780,056/490-417,rodica
257,Biljan,Graðin,Kneza Miloša 8B/28,1003529474776,3/10/1952,M,neoženjen,7/21/2020,059/481-067,055/416-019,rodica
258,Joksim,Malavraziæ,"Kneza Miloša BB, Bijeljina",2305723528776,5/23/1972,M,neoženjen,7/23/2020,059/261-132,055/416-016,roðak
259,Mirko,Kajgo,"Kninska 14, Trebinje",0801979997998,1/8/1997,M,neoženjen,7/24/2020,059/223-046,+387 59 261-350,roðak
260,Steva,Oborina,"Kokanoviæi bb, Miliæi",1803083028788,3/18/2008,M,neoženjen,7/5/2020,059/223-893,056/211-100,roðak
261,Uroš,Šmitran,"Kokanoviæi bb, Miliæi",0608007609752,8/6/2000,M,neoženjen,7/27/2020,059/271-250,056/211-101,roðak
262,Simka,Gajtaniæ,"Kopilovi BB, Brod",1005837002293,5/10/1983,M,neoženjen,7/5/2020,059/280-163,058/214-813,roðak
263,Nestor,Višnjevèanin,"Kopilovi BB, Brod",2912631271561,12/29/1963,M,neoženjen,7/3/2020,059/252-252,058/214-817,roðak
264,Borivoj,Jojiæ,"Korenita Kandici, Ugljevik",2308656871051,8/23/1965,M,neoženjen,7/25/2020,059/225-689,055/416-019,roðak
265,Golub,Cupaæ,"Kosovska BB, Bratunac",0903201465459,3/9/2020,M,neoženjen,7/6/2020,059/252-572,056/490-417,roðak
266,Æirjak,Barvalac,"Kovaèiæi BB, Kalinovik",1101015782165,1/11/2001,M,neoženjen,7/31/2020,059/280-177,057/340-169,rodica
267,Jovka,Pivnièki,"Kozja Luka BB, Miljevina",1309982699006,9/13/1998,M,neoženjen,7/27/2020,059/285-340,058/214-817,roðak
268,Kosta,Vuleta,"Kragujevaèka 3, Foèa",2209194238776,9/22/2019,M,neoženjen,7/11/2020,059/225-038,058/214-817,roðak
269,Ranðel,Ištokoviæ,"Krajiška BB, Foèa",0903554691876,3/9/1955,M,neoženjen,7/7/2020,059/227-377,058/214-813,roðak
270,Trifun,Brajeviæ,"Krajiška BB, Foèa",2102555849381,2/21/1955,M,neoženjen,7/15/2020,059/261-321,058/214-817,rodica
271,David,Gržiniæ,"Krajiška BB, Foèa",2712458725006,12/27/1945,M,neoženjen,7/3/2020,059/482-200,058/214-817,roðak
272,Jakov,Vujmiloviæ,"Kralja Petra I 4, Foèa",1102884569885,2/11/1988,M,neoženjen,7/4/2020,059/281-155,058/214-813,roðak
273,Janiæije,Vuletiæ,"Kralja Petra I BB, Foèa",0310959128965,10/3/1995,M,neoženjen,7/13/2020,059/220-784,058/214-817,rodica
274,Negomir,Glogonjac,"Kralja Petra I BB, Foèa",1210673246282,10/12/1967,M,neoženjen,7/23/2020,059/261-930,058/214-817,roðak
275,Vukalj,Živanac,"Kralja Petra I Karaðorðeviæa BB -2-12, Zvornik",0304032549758,4/3/2003,M,neoženjen,7/25/2020,059/259-027,056/211-102,roðak
276,Dobrivoje,Vidojeviæ,"Kravièka BB, Bratunac",1604764186720,4/16/1976,M,neoženjen,7/5/2020,059/258-175,056/490-419,majka
277,Dragoja,Jovkoviæ,"Križevacka BB, Bratunac",2107521161612,7/21/1952,M,neoženjen,7/24/2020,059/483-749,056/490-419,roðak
278,Obreten,Liliæ,"Križeviæi BB, Gušteri",1901057139174,1/19/2005,M,neoženjen,7/29/2020,059/226-210,056/211-111,majka
279,Budiša,Markuš,"Kunjerac BB, Bratunac",0202046901396,2/2/2004,M,neoženjen,7/15/2020,059/281-316,056/490-417,otac
280,Cvetašin,Dokmanac,"Kuta BB, Brod",1808405502658,8/18/1940,M,neoženjen,7/11/2020,059/280-640,058/214-813,roðak
281,Slaviša,Gloðoviæ,"Lastva BB, Lastva",1312456198904,12/13/1945,M,neoženjen,7/7/2020,059/246-012,+387 59 261-353,roðak
282,Tomislav,Garaèa,"Lazarevo BB, Foèa",2307061691069,7/23/2006,M,neoženjen,7/27/2020,059/246-060,058/214-817,roðak
283,Vukoje,Berdoviæ,"Leontija Ninkoviæa 10, Trebinje",1602168190447,2/16/2016,M,neoženjen,7/12/2020,059/483-901,+387 59 261-353,roðak
284,Jagoš,Jevgenijeviæ,"Lipovica BB, Bijeljina",2509095819556,9/25/2009,M,neoženjen,7/19/2020,059/485-354,055/416-019,roðak
285,Oliver,Dumanjiæ,"Livade BB, Foèa",0111154525962,11/1/2015,M,neoženjen,8/1/2020,059/227-759,058/214-817,roðak
286,Radenko,Dragiæ,"Livade BB, Foèa",0908749277282,8/9/1974,M,neoženjen,7/27/2020,059/260-823,058/214-817,roðak
287,Jagoš,Savatijeviæ,"Livade BB, Foèa",0910602621113,10/9/1960,M,neoženjen,7/3/2020,059/281-058,058/214-817,rodica
288,Dobrivoje,Puševac,"Ljeljenca BB, Bijeljina",2511595811508,11/25/1959,M,neoženjen,7/21/2020,059/280-563,055/416-018,roðak
289,Konstantin,Opriæ,"Ljeljenca BB, Bijeljina",0811755438239,11/8/1975,M,neoženjen,7/20/2020,059/260-662,055/416-016,roðak
290,Radak,Kursuliæ,"Ljeljenca BB, Bijeljina",1711756352551,11/17/1975,M,neoženjen,7/6/2020,057/623-475,055/416-016,roðak
291,Joksim,Trivaliæ,"Ljeskovac BB, Bijeljina",1901044890614,1/19/2004,M,neoženjen,7/10/2020,057/482-226,055/416-016,roðak
292,Vojislav,Crniloviæ,"Ljeskovac BB, Bijeljina",2406863027123,6/24/1986,M,neoženjen,7/16/2020,057/483-095,055/416-016,roðak
293,Mileta,Simèeviæ,"Loznica BB, Bratunac",1512048897771,12/15/2004,M,neoženjen,7/5/2020,057/623-189,056/490-419,roðak
294,Novica,Brašnjakoviæ,"Luèka 5, kalinovik",2204729097758,4/22/1972,M,neoženjen,7/4/2020,057/482-325,057/340-169,roðak
295,Cveja,Arkadijeviæ,"Luèka BB, Kalinovik",1301581095450,1/13/1958,M,neoženjen,7/30/2020,057/484-820,057/340-169,roðak
296,Bogoslav,Grobenski,Luja Pastera 20A,1801631155790,1/18/1963,M,neoženjen,7/18/2020,057/623-052,055/416-016,roðak
297,Ðura,Peranoviæ,"Luke Vukaloviæa BB, Trebinje",2411462166237,11/24/1946,M,neoženjen,7/12/2020,057/623-323,+387 59 261-350,rodica
298,Gvozdenko,Blaževiæ,"Lukiæ Polje bb, Miliæi",0802638143567,2/8/1963,M,neoženjen,7/9/2020,057/482-396,056/211-100,rodica
299,Daroslav,Dangiæ,"Lukiæ Polje bb, Miliæi",2411995693879,11/24/1999,M,neoženjen,7/17/2020,057/623-341,056/211-101,roðak
300,Filiman,Kažanegra,"Magašiæi BB, Bratunac",1806838787768,6/18/1983,M,neoženjen,7/2/2020,057/482-407,056/490-417,roðak
301,Prohor,Duloviæ,"Majevièka 15, Zvornik",1712025951607,12/17/2002,M,neoženjen,7/12/2020,057/623-018,056/211-111,roðak
302,Julije,Florièeloviæ,"Majevièka BB, Bratunac",0710033030831,10/7/2003,M,neoženjen,7/5/2020,057/482-255,056/490-417,roðak
303,Metodije,Barbul,"Mala Ulica BB, Trebinje",0712672486504,12/7/1967,M,neoženjen,7/17/2020,057/623-038,+387 59 261-351,rodica
304,Njegoš,Miljeviæ,"Malešiæ BB, Kozluk",2802053900482,2/28/2005,M,neoženjen,7/22/2020,057/623-310,056/211-111,roðak
305,Bogašin,Šola,"Malešiæ BB, Malešiæ",2610516618111,10/26/1951,M,neoženjen,7/17/2020,057/623-046,056/211-102,roðak
306,Cvetoš,Kurepa,"Malešiæ BB, Malešiæ",1709996484962,9/17/1999,M,neoženjen,7/8/2020,057/623-386,056/211-111,roðak
307,Rumenko,Kuèanèanin,"Malog Radojice 3, Gorica",0311993566827,11/3/1999,M,neoženjen,7/16/2020,057/623-115,+387 59 261-352,roðak
308,Ratimir,Džikiæ,"Mariæi BB, Bijeljina",0211769520664,11/2/1976,M,neoženjen,7/23/2020,057/623-542,055/416-016,roðak
309,Balša,Anðeliæ,"Mazoèe BB, Brod",0711939409909,11/7/1993,M,neoženjen,7/28/2020,057/480-626,058/214-817,roðak
310,Mileta,Kožoviæ,"Meðaši BB, Bijeljina",2006603323042,6/20/1960,M,neoženjen,7/18/2020,057/480-459,055/416-018,roðak
311,Dražeta,Zlovariæ,"Mehmed Paše Sokoloviæa BB, Foèa",2206684778416,6/22/1968,M,neoženjen,7/12/2020,057/623-079,058/214-817,rodica
312,Evgenije,Poletan,"Meštrevac BB, Èelebiæi",0411679017459,11/4/1967,M,neoženjen,7/3/2020,057/480-101,058/214-817,roðak
313,Vukola,Lozanac,"Meterize BB, Zvornik",2407873884149,7/24/1987,M,neoženjen,7/9/2020,057/482-395,056/211-111,rodica
314,Strašimir,Slepèeviæ,Mihajla Pupina 24,2905825759193,5/29/1982,M,neoženjen,7/20/2020,057/485-676,055/416-016,roðak
315,Jona,Grujanac,"Mihajla Pupina BB, Ugljevik",0408056061908,8/4/2005,M,neoženjen,7/4/2020,057/623-486,055/416-019,roðak
316,Živorad,Dimkiæ,"Mihaljeviæi BB, Bratunac",2410651668058,10/24/1965,M,neoženjen,7/24/2020,057/623-232,056/490-417,roðak
317,Negomir,Zelenkapiæ,"Mijakoviæi BB, JošAnica",2809944401037,9/28/1994,M,neoženjen,7/20/2020,057/623-105,058/214-811,roðak
318,Radin,Vuleševiæ,"Mijakoviæi BB, JošAnica",2803142541414,3/28/2014,M,neoženjen,7/19/2020,057/623-160,058/214-812,roðak
319,Drailo,Dobrašinoviæ,"Milana Hadživukoviæa BB, Foèa",2110742674479,10/21/1974,M,neoženjen,7/6/2020,057/623-176,058/214-817,roðak
320,Drago,Miladiæ,"Milentija Peroviæa 96, Trebinje",0908362357567,8/9/1936,M,neoženjen,7/10/2020,057/485-367,+387 59 261-353,roðak
321,Boriša,Brzanoviæ,"Miliæa Brdo bb, Miliæi",1804608973631,4/18/1960,M,neoženjen,7/15/2020,057/623-632,056/211-101,roðak
322,Biserko,Šoklovaèki,"Miliæi bb, Miliæi",1811658768483,11/18/1965,M,neoženjen,7/2/2020,057/482-544,056/211-101,roðak
323,Baja,Mišuriæ,"Miliæi bb, Miliæi",1509608149574,9/15/1960,M,neoženjen,7/20/2020,057/623-327,056/211-101,roðak
324,Ignjatije,Ugarkoviæ,"Miljeviæi BB, Bijeljina",0207025051552,7/2/2002,M,neoženjen,7/31/2020,057/623-398,055/416-016,roðak
325,Stepan,Erdeljanoviæ,"Miljevina BB, Miljevina",3008731824598,8/30/1973,M,neoženjen,7/18/2020,057/483-274,058/214-817,roðak
326,Beran,Dragutinoviæ,"Miljevina BB, Miljevina",2009529852464,9/20/1952,M,neoženjen,7/5/2020,057/623-373,058/214-817,roðak
327,Miroje,Malivuk,"Miljevina BB, Miljevina",0110939871622,10/1/1993,M,neoženjen,7/30/2020,057/623-279,058/214-817,roðak
328,Aranðel,Jozoviæ,"Miljevina BB, Miljevina",0905123261975,5/9/2012,M,neoženjen,7/8/2020,057/623-305,058/214-817,rodica
329,Strašina,Stanušiæ,"Miljevina BB, Miljevina",2004392891850,4/20/1939,M,neoženjen,7/8/2020,057/482-328,058/214-817,roðak
330,Nikašin,Biljuriæ,"Miljevina BB, Miljevina",0509058840917,9/5/2005,M,neoženjen,7/4/2020,057/623-440,058/214-817,roðak
331,Vidosav,Umjenoviæ,"Miloša Obiliæa 21, Trebinje",1504459958961,4/15/1945,M,neoženjen,7/19/2020,057/623-238,+387 59 261-351,roðak
332,Bojèeta,Staoroviæ,"Miloša Obiliæa bb, Miliæi",1902155206323,2/19/2015,M,neoženjen,7/31/2020,057/483-099,056/211-101,roðak
333,Mario,Pudariæ,"Miloša Obiliæa bb, Miliæi",2012033249958,12/20/2003,M,neoženjen,7/8/2020,057/482-547,056/211-101,roðak
334,Milika,Ljubisavljeviæ,"Miloša Obiliæa BB, Foèa",2604953030609,4/26/1995,Z,udata,7/7/2020,057/482-425,058/214-811,roðak
335,Dragina,Krestiæ,"Miloša Obiliæa BB, Foèa",2901681186599,1/29/1968,Z,udata,7/30/2020,057/485-617,058/214-811,rodica
336,Mirjana,Turniæ,"Miloša Obiliæa BB, Foèa",2204675672322,4/22/1967,Z,udata,7/9/2020,057/623-354,058/214-813,roðak
337,Flora,Gazibara,"Miloša Obiliæa BB, Foèa",0103478581236,3/1/1947,Z,udata,7/20/2020,057/623-140,058/214-817,roðak
338,Simeuna,Pašagiæ,"Miloša Obiliæa BB, Foèa",0704845702592,4/7/1984,Z,udata,7/27/2020,057/623-333,058/214-817,roðak
339,Ðurða,Zagajac,"Miloša Šarabe 17, Trebinje",0911597146025,11/9/1959,Z,udata,7/22/2020,057/623-352,+387 59 261-351,roðak
340,Sara,Juzbaša,"Miloševo bb, Miliæi",1412076749251,12/14/2007,Z,neudata,7/1/2020,057/483-282,056/211-101,roðak
341,Ankica,Brnad,"Miloševo bb, Miliæi",2511027681494,11/25/2002,Z,udata,7/24/2020,057/623-587,056/211-101,rodica
342,Jana,Bogdaniæ,"Miloševo bb, Miliæi",2405632435798,5/24/1963,Z,udata,7/21/2020,057/623-032,056/211-101,tetka
343,Draga,Klinac,"Mišiæi bb, Miliæi",2807935578787,7/28/1993,Z,udata,7/22/2020,057/623-284,056/211-100,roðak
344,Dana,Palikuæa,"Mjehovina BB, Kalinovik",1807438198283,7/18/1943,Z,udovica,7/21/2020,057/482-245,057/340-169,roðak
345,Tara,Ljuboja,"Mješaja BB, Brod",0709764027042,9/7/1976,Z,udata,7/25/2020,057/482-228,058/214-812,roðak
346,Tijana,Pajtiæ,"Mješaja BB, Brod",2807969280653,7/28/1996,Z,udata,7/4/2020,057/623-093,058/214-813,roðak
347,Agica,Stanèuloviæ,"Mješaja BB, Brod",2009056180356,9/20/2005,Z,neudata,7/28/2020,057/482-458,058/214-817,roðak
348,Jovana,Martiæ,"Mješaja BB, Brod",2307948990975,7/23/1994,Z,udata,7/31/2020,057/623-470,058/214-817,roðak
349,Jovanka,Uroševiæ,"Mješaja BB, Brod",2108483941970,8/21/1948,Z,udata,7/1/2020,057/623-472,058/214-817,tetka
350,Borislava,Obluèar,"Modran BB, Bijeljina",2807155024182,7/28/2015,Z,neudata,7/16/2020,057/623-221,055/416-016,roðak
351,Stevana,Mirošljeviæ,"Mojkovaèka BB, Foèa",0103751899401,3/1/1975,Z,udata,8/1/2020,057/482-259,058/214-811,roðak
352,Neva,Radoniæ,"Mojkovaèka BB, Foèa",2007553466542,7/20/1955,Z,udata,7/21/2020,057/480-280,058/214-812,roðak
353,Aida,Mesaroviæ,"Mokri Dolovi 7, Trebinje",1604758318116,4/16/1975,Z,udata,7/25/2020,057/623-180,+387 59 261-353,roðak
354,Božidarka,Saravelja,"Mokri Dolovi BB, Trebinje",2211916585411,11/22/1991,Z,udata,7/25/2020,057/623-197,+387 59 261-353,roðak
355,Danojla,Ognjanov,"Mosoroviæi BB, Kalinovik",1312788619681,12/13/1978,Z,udata,7/7/2020,057/623-073,057/340-169,rodica
356,Miluša,Soro,"Mosoroviæi BB, Kalinovik",1802194173835,2/18/2019,Z,neudata,7/29/2020,057/623-158,057/340-169,roðak
357,Afrodita,Basuroviæ,"Mosoroviæi BB, Kalinovik",0308047346122,8/3/2004,Z,udata,7/9/2020,057/623-469,057/340-169,roðak
358,Ognjanka,Nestorov,"Mostaæi BB, Trebinje",0206492901737,6/2/1949,Z,udovica,7/15/2020,057/480-365,+387 59 261-351,rodica
359,Gorana,Bunardžiæ,"Moštanice BB, Bratunac",0409811136687,9/4/1981,Z,udata,7/30/2020,057/483-862,056/490-419,roðak
360,Smiljana,Mulaomeroviæ,"Moštanice BB, Bratunac",0609861937462,9/6/1986,Z,udata,7/27/2020,057/482-258,056/490-417,rodica
361,Željana,Aguridiæ,"Mušiæi BB, Kalinovik",2206927824874,6/22/1992,Z,udata,7/20/2020,057/480-461,057/340-169,roðak
362,Ljubica,Spremiæ,"Mušiæi BB, Kalinovik",2907015948207,7/29/2001,Z,udata,7/23/2020,057/482-448,057/340-169,rodica
363,Karmen,Baèiloviæ,"Naselje Biraè Do-Br.1, Zvornik",1603831154827,3/16/1983,Z,udata,8/1/2020,057/623-222,056/211-102,roðak
364,Smiljka,Veseliæ,"Necjeæe BB, Gorica",2601795399478,1/26/1979,Z,udata,7/1/2020,057/623-274,+387 59 261-350,rodica
365,Nadica,Ðerisilo,"Nedaviæ BB, Kalinovik",1304881659033,4/13/1988,Z,udata,7/8/2020,057/623-262,057/340-169,roðak
